I1	V(dc)	I(I1)
1.000000000000000e-06	1.493364e-02	1.000000e-06
1.009900000000000e-04	5.148211e-01	1.009900e-04
2.009800000000000e-04	1.014709e+00	2.009800e-04
3.009700000000001e-04	1.514596e+00	3.009700e-04
4.009600000000001e-04	2.014483e+00	4.009600e-04
5.009500000000001e-04	2.513402e+00	5.009500e-04
6.009400000000001e-04	2.976982e+00	6.009400e-04
7.009300000000001e-04	3.432163e+00	7.009300e-04
8.009200000000001e-04	3.858310e+00	8.009200e-04
9.009100000000001e-04	4.086646e+00	9.009100e-04
1.000900000000000e-03	4.088583e+00	1.000900e-03
1.100890000000000e-03	4.088567e+00	1.100890e-03
1.200880000000000e-03	4.088551e+00	1.200880e-03
1.300870000000000e-03	4.088535e+00	1.300870e-03
1.400860000000000e-03	4.088518e+00	1.400860e-03
1.500850000000000e-03	4.088501e+00	1.500850e-03
1.600840000000000e-03	4.088484e+00	1.600840e-03
1.700830000000000e-03	4.088467e+00	1.700830e-03
1.800820000000000e-03	4.088449e+00	1.800820e-03
1.900810000000000e-03	4.088441e+00	1.900810e-03
2.000800000000000e-03	4.088440e+00	2.000800e-03
2.100790000000000e-03	4.088439e+00	2.100790e-03
2.200780000000000e-03	4.088439e+00	2.200780e-03
2.300770000000000e-03	4.088439e+00	2.300770e-03
2.400760000000000e-03	4.088439e+00	2.400760e-03
2.500750000000000e-03	4.088438e+00	2.500750e-03
2.600740000000000e-03	4.088438e+00	2.600740e-03
2.700730000000001e-03	4.088438e+00	2.700730e-03
2.800720000000000e-03	4.088437e+00	2.800720e-03
2.900710000000000e-03	4.088437e+00	2.900710e-03
3.000700000000000e-03	4.088437e+00	3.000700e-03
3.100690000000001e-03	4.088437e+00	3.100690e-03
3.200680000000000e-03	4.088436e+00	3.200680e-03
3.300670000000000e-03	4.088436e+00	3.300670e-03
3.400660000000001e-03	4.088436e+00	3.400660e-03
3.500650000000001e-03	4.088436e+00	3.500650e-03
3.600640000000000e-03	4.088435e+00	3.600640e-03
3.700630000000000e-03	4.088435e+00	3.700630e-03
3.800620000000001e-03	4.088435e+00	3.800620e-03
3.900610000000001e-03	4.088435e+00	3.900610e-03
4.000600000000001e-03	4.088434e+00	4.000600e-03
4.100590000000000e-03	4.088434e+00	4.100590e-03
4.200580000000001e-03	4.088434e+00	4.200580e-03
4.300570000000001e-03	4.088434e+00	4.300570e-03
4.400560000000000e-03	4.088433e+00	4.400560e-03
4.500550000000001e-03	4.088433e+00	4.500550e-03
4.600540000000000e-03	4.088433e+00	4.600540e-03
4.700530000000001e-03	4.088433e+00	4.700530e-03
4.800520000000001e-03	4.088432e+00	4.800520e-03
4.900510000000000e-03	4.088432e+00	4.900510e-03
5.000500000000001e-03	4.088432e+00	5.000500e-03
5.100490000000001e-03	4.088432e+00	5.100490e-03
5.200480000000000e-03	4.088432e+00	5.200480e-03
5.300470000000001e-03	4.088431e+00	5.300470e-03
5.400460000000001e-03	4.088431e+00	5.400460e-03
5.500450000000000e-03	4.088431e+00	5.500450e-03
5.600440000000001e-03	4.088431e+00	5.600440e-03
5.700430000000001e-03	4.088431e+00	5.700430e-03
5.800420000000001e-03	4.088430e+00	5.800420e-03
5.900410000000001e-03	4.088430e+00	5.900410e-03
6.000400000000000e-03	4.088430e+00	6.000400e-03
6.100390000000001e-03	4.088430e+00	6.100390e-03
6.200380000000001e-03	4.088429e+00	6.200380e-03
6.300370000000000e-03	4.088429e+00	6.300370e-03
6.400360000000001e-03	4.088429e+00	6.400360e-03
6.500350000000001e-03	4.088429e+00	6.500350e-03
6.600340000000001e-03	4.088429e+00	6.600340e-03
6.700330000000001e-03	4.088428e+00	6.700330e-03
6.800320000000001e-03	4.088428e+00	6.800320e-03
6.900310000000001e-03	4.088428e+00	6.900310e-03
7.000300000000001e-03	4.088428e+00	7.000300e-03
7.100290000000000e-03	4.088428e+00	7.100290e-03
7.200280000000001e-03	4.088428e+00	7.200280e-03
7.300270000000001e-03	4.088428e+00	7.300270e-03
7.400260000000001e-03	4.088427e+00	7.400260e-03
7.500250000000001e-03	4.088427e+00	7.500250e-03
7.600240000000001e-03	4.088427e+00	7.600240e-03
7.700230000000001e-03	4.088427e+00	7.700230e-03
7.800220000000001e-03	4.088427e+00	7.800220e-03
7.900210000000000e-03	4.088426e+00	7.900210e-03
8.000200000000001e-03	4.088426e+00	8.000200e-03
8.100190000000000e-03	4.088426e+00	8.100190e-03
8.200180000000000e-03	4.088426e+00	8.200180e-03
8.300170000000001e-03	4.088426e+00	8.300170e-03
8.400160000000000e-03	4.088425e+00	8.400160e-03
8.500150000000000e-03	4.088425e+00	8.500150e-03
8.600140000000001e-03	4.088425e+00	8.600140e-03
8.700130000000000e-03	4.088425e+00	8.700130e-03
8.800120000000000e-03	4.088425e+00	8.800120e-03
8.900110000000001e-03	4.088424e+00	8.900110e-03
9.000100000000000e-03	4.088424e+00	9.000100e-03
9.100090000000000e-03	4.088424e+00	9.100090e-03
9.200079999999999e-03	4.088424e+00	9.200080e-03
9.300070000000001e-03	4.088424e+00	9.300070e-03
9.400060000000000e-03	4.088423e+00	9.400060e-03
9.500049999999999e-03	4.088423e+00	9.500050e-03
9.600040000000001e-03	4.088423e+00	9.600040e-03
9.700030000000000e-03	4.088423e+00	9.700030e-03
9.800020000000000e-03	4.088423e+00	9.800020e-03
9.900010000000001e-03	4.088422e+00	9.900010e-03
1.000000000000000e-02	4.088422e+00	1.000000e-02
